,qb1a,qb2,qb5,qb4_3,qb4_5,qb7,qb8,qb9,d1,d10,d11,country,d25,d8,d63,d7
5125,"Poverty, hunger and lack of drinking water",7.0,Yes,1,2,1,1,1,centro,Woman,51,IE - Ireland,Large town,16,The upper middle class of society,con patner e figli
5126,"Poverty, hunger and lack of drinking water",10.0,Yes,2,2,2,2,2,centro-dx,Woman,79,IE - Ireland,Large town,23,The upper middle class of society,single
5127,Climate change,10.0,Yes,2,1,1,2,1,dx,Woman,65,IE - Ireland,Large town,32,dk,con patner
5128,International terrorism,5.0,No,2,2,3,3,2,centro,Man,41,IE - Ireland,Rural area or village,19,The middle class of society,con patner e figli
5129,"Poverty, hunger and lack of drinking water",7.0,No,1,1,2,2,2,non-posizionabile,Woman,33,IE - Ireland,Rural area or village,18,The working class of society,con patner e figli
5130,"Poverty, hunger and lack of drinking water",10.0,Yes,1,2,2,2,2,centro,Man,57,IE - Ireland,Small or middle sized town,19,The working class of society,con patner e figli
5131,Proliferation of nuclear weapons,7.0,Yes,1,2,2,2,2,centro,Woman,66,IE - Ireland,Small or middle sized town,17,The working class of society,con patner e figli
5132,Climate change,9.0,No,1,1,1,1,1,centro,Man,50,IE - Ireland,Rural area or village,20,The middle class of society,con patner e figli
5133,Climate change,10.0,Yes,2,1,2,1,1,centro,Woman,41,IE - Ireland,Rural area or village,20,The middle class of society,con patner e figli
5134,Climate change,9.0,Yes,2,1,1,2,2,centro,Woman,52,IE - Ireland,Large town,25,The upper middle class of society,con patner e figli
5135,International terrorism,5.0,Yes,2,2,1,2,2,centro,Man,50,IE - Ireland,Rural area or village,18,The middle class of society,con patner
5136,"Poverty, hunger and lack of drinking water",7.0,No,1,1,2,2,2,centro,Woman,39,IE - Ireland,Small or middle sized town,18,The working class of society,con patner e figli
5137,"Poverty, hunger and lack of drinking water",6.0,Yes,1,1,1,1,1,centro,Woman,41,IE - Ireland,Rural area or village,19,The middle class of society,con patner e figli
5138,Spread of infectious diseases,7.0,Yes,2,2,2,2,2,centro-sx,Woman,58,IE - Ireland,Rural area or village,17,The lower middle class of society,con patner
5139,International terrorism,7.0,Yes,2,2,2,2,2,centro,Woman,73,IE - Ireland,Rural area or village,16,The working class of society,single
5140,Climate change,8.0,No,2,2,1,1,1,centro-sx,Woman,36,IE - Ireland,Small or middle sized town,18,The working class of society,con patner e figli
5141,"Poverty, hunger and lack of drinking water",6.0,No,2,3,2,2,2,centro,Man,71,IE - Ireland,Rural area or village,14,The working class of society,con patner
5142,International terrorism,8.0,Yes,1,1,1,1,2,centro-sx,Woman,21,IE - Ireland,Large town,20,The working class of society,con patner
5143,Climate change,7.0,Yes,2,1,1,1,1,centro,Woman,36,IE - Ireland,Rural area or village,20,The middle class of society,con patner e figli
5144,Proliferation of nuclear weapons,6.0,No,2,1,2,2,2,centro,Woman,36,IE - Ireland,Small or middle sized town,23,The working class of society,con patner e figli
5145,"Poverty, hunger and lack of drinking water",7.0,No,1,1,2,2,2,centro,Woman,52,IE - Ireland,Small or middle sized town,17,The working class of society,con patner e figli
5146,"Poverty, hunger and lack of drinking water",9.0,No,1,1,1,1,2,centro,Woman,36,IE - Ireland,Large town,18,The working class of society,con patner e figli
5147,The increasing global population,9.0,Yes,1,1,1,1,1,centro,Man,33,IE - Ireland,Large town,18,The working class of society,single
5148,Climate change,10.0,Yes,1,1,1,1,1,centro,Man,50,IE - Ireland,Rural area or village,19,The middle class of society,con patner e figli
5149,"Poverty, hunger and lack of drinking water",3.0,Yes,2,2,2,2,2,centro-dx,Man,23,IE - Ireland,Large town,0,The working class of society,single
5150,"Poverty, hunger and lack of drinking water",8.0,No,1,1,2,2,2,centro,Man,54,IE - Ireland,Rural area or village,16,The middle class of society,con patner e figli
5151,Proliferation of nuclear weapons,8.0,Yes,1,1,2,1,1,centro-sx,Woman,25,IE - Ireland,Small or middle sized town,18,The working class of society,single
5152,Armed conflicts,5.0,Yes,1,1,1,1,1,centro-dx,Woman,40,IE - Ireland,Rural area or village,21,The middle class of society,con patner e figli
5153,International terrorism,10.0,Yes,1,1,1,1,1,dx,Woman,75,IE - Ireland,Large town,19,The middle class of society,con patner
5154,The increasing global population,5.0,No,2,2,2,2,2,centro-sx,Man,68,IE - Ireland,Small or middle sized town,20,The working class of society,single
5155,"Poverty, hunger and lack of drinking water",6.0,Yes,1,2,1,1,1,centro,Woman,28,IE - Ireland,Large town,0,The middle class of society,single con figli
5156,Climate change,10.0,No,2,2,1,1,1,non-posizionabile,Man,82,IE - Ireland,Rural area or village,13,The working class of society,con patner e figli
5157,"Poverty, hunger and lack of drinking water",6.0,Yes,2,2,2,1,3,centro-sx,Woman,20,IE - Ireland,Rural area or village,17,dk,single
5158,Climate change,7.0,Yes,2,2,1,1,1,non-posizionabile,Woman,40,IE - Ireland,Rural area or village,21,None (SPONTANEOUS),con patner e figli
5159,The increasing global population,7.0,Yes,2,1,1,1,1,centro,Man,43,IE - Ireland,Small or middle sized town,34,dk,single
5160,"Poverty, hunger and lack of drinking water",6.0,Yes,2,2,2,2,2,centro-dx,Woman,35,IE - Ireland,Rural area or village,18,The middle class of society,con patner e figli
5161,Climate change,10.0,No,2,2,1,1,1,centro,Woman,66,IE - Ireland,Rural area or village,17,The middle class of society,single
5162,"Poverty, hunger and lack of drinking water",10.0,Yes,1,1,1,1,1,centro,Woman,69,IE - Ireland,Rural area or village,21,None (SPONTANEOUS),con patner
5163,"Poverty, hunger and lack of drinking water",5.0,No,2,1,2,2,2,centro,Man,55,IE - Ireland,Small or middle sized town,17,The middle class of society,con patner
5164,Climate change,10.0,Yes,1,1,1,1,1,centro,Woman,48,IE - Ireland,Small or middle sized town,29,The middle class of society,con patner e figli
5165,International terrorism,6.0,No,2,1,1,2,2,centro,Woman,16,IE - Ireland,Small or middle sized town,0,The working class of society,con patner
5166,The increasing global population,10.0,Yes,2,2,2,1,1,sx,Woman,63,IE - Ireland,Small or middle sized town,16,The lower middle class of society,con patner
5167,"Poverty, hunger and lack of drinking water",10.0,Yes,1,1,1,1,1,centro,Man,39,IE - Ireland,Small or middle sized town,14,The working class of society,con patner e figli
5168,Climate change,10.0,Yes,1,1,1,1,1,centro-dx,Man,58,IE - Ireland,Small or middle sized town,23,The upper middle class of society,con patner
5169,International terrorism,7.0,No,3,2,1,2,2,centro,Woman,20,IE - Ireland,Small or middle sized town,17,The working class of society,con patner e figli
5170,Climate change,10.0,Yes,1,2,1,1,1,centro-dx,Man,64,IE - Ireland,Small or middle sized town,14,The working class of society,con patner
5171,"Poverty, hunger and lack of drinking water",1.0,Yes,1,1,1,1,1,centro-dx,Woman,60,IE - Ireland,Small or middle sized town,17,The lower middle class of society,con patner
5172,Climate change,7.0,Yes,1,1,1,1,1,centro-dx,Man,65,IE - Ireland,Small or middle sized town,22,The middle class of society,con patner
5173,Climate change,6.0,Yes,2,2,1,1,2,centro-dx,Woman,46,IE - Ireland,Rural area or village,21,The middle class of society,con patner e figli
5174,Armed conflicts,6.0,Yes,2,2,1,2,2,centro-dx,Man,68,IE - Ireland,Rural area or village,18,The middle class of society,con patner
5175,International terrorism,8.0,Yes,2,2,1,2,1,centro-dx,Man,71,IE - Ireland,Rural area or village,16,The middle class of society,con patner
5176,International terrorism,5.0,Yes,2,3,2,2,2,centro,Man,68,IE - Ireland,Rural area or village,18,The middle class of society,con patner
5177,Armed conflicts,6.0,Yes,1,2,2,2,1,centro-dx,Woman,43,IE - Ireland,Rural area or village,18,The middle class of society,con patner e figli
5178,Climate change,4.0,Yes,2,2,2,2,2,centro,Man,68,IE - Ireland,Rural area or village,18,The middle class of society,con patner
5179,The increasing global population,8.0,No,2,2,2,2,3,centro-dx,Woman,31,IE - Ireland,Rural area or village,21,The middle class of society,con patner
5180,"Poverty, hunger and lack of drinking water",7.0,Yes,2,2,1,2,2,centro,Woman,35,IE - Ireland,Rural area or village,19,The middle class of society,con patner e figli
5181,Climate change,9.0,Yes,2,1,1,2,1,centro-sx,Woman,58,IE - Ireland,Rural area or village,18,The middle class of society,con patner e figli
5182,"Poverty, hunger and lack of drinking water",6.0,No,3,3,1,1,3,centro,Man,62,IE - Ireland,Rural area or village,17,The working class of society,con patner e figli
5183,The increasing global population,10.0,No,1,1,1,1,1,centro-sx,Man,88,IE - Ireland,Large town,22,The working class of society,single
5184,Climate change,10.0,Yes,1,1,1,1,1,centro,Woman,54,IE - Ireland,Rural area or village,17,The working class of society,con patner e figli
5185,"Poverty, hunger and lack of drinking water",8.0,Yes,1,1,1,2,1,centro-sx,Man,62,IE - Ireland,Large town,17,The working class of society,con patner
5186,The economic situation,10.0,Yes,1,1,1,1,1,centro,Man,46,IE - Ireland,Large town,15,The working class of society,con patner
5187,"Poverty, hunger and lack of drinking water",10.0,Yes,1,1,1,1,1,sx,Woman,51,IE - Ireland,Small or middle sized town,15,The middle class of society,single
5188,Climate change,10.0,Yes,1,1,1,1,1,centro-sx,Man,33,IE - Ireland,Small or middle sized town,25,The middle class of society,single
5189,"Poverty, hunger and lack of drinking water",7.0,No,1,1,1,1,1,non-posizionabile,Man,17,IE - Ireland,Large town,0,The working class of society,single
5190,"Poverty, hunger and lack of drinking water",9.0,No,1,1,1,1,1,non-posizionabile,Woman,33,IE - Ireland,Large town,16,The working class of society,con patner e figli
5191,"Poverty, hunger and lack of drinking water",10.0,Yes,1,1,1,1,1,non-posizionabile,Woman,53,IE - Ireland,Large town,14,The working class of society,con patner e figli
5192,Proliferation of nuclear weapons,8.0,Yes,2,3,1,1,2,centro-sx,Man,74,IE - Ireland,Rural area or village,15,The lower middle class of society,single con figli
5193,"Poverty, hunger and lack of drinking water",9.0,Yes,2,2,2,2,1,centro,Woman,41,IE - Ireland,Rural area or village,23,The lower middle class of society,con patner e figli
5194,International terrorism,7.0,Yes,1,1,1,1,2,centro,Woman,64,IE - Ireland,Small or middle sized town,55,The middle class of society,con patner
5195,Climate change,10.0,No,1,1,1,1,1,centro-dx,Man,50,IE - Ireland,Small or middle sized town,18,The working class of society,con patner e figli
5196,Climate change,10.0,Yes,1,1,1,1,1,centro-sx,Woman,56,IE - Ireland,Rural area or village,17,The middle class of society,con patner e figli
5197,International terrorism,8.0,Yes,3,1,1,1,1,centro,Woman,31,IE - Ireland,Small or middle sized town,24,The working class of society,con patner
5198,The economic situation,10.0,Yes,1,1,1,1,2,centro,Woman,26,IE - Ireland,Large town,18,The working class of society,single
5199,Climate change,9.0,Yes,1,1,1,1,1,non-posizionabile,Woman,19,IE - Ireland,Rural area or village,0,The working class of society,Other (SPONT.)
5200,Armed conflicts,8.0,Yes,1,1,1,1,1,centro-dx,Man,40,IE - Ireland,Rural area or village,22,The middle class of society,con patner e figli
5201,"Poverty, hunger and lack of drinking water",10.0,Yes,3,1,1,1,1,centro,Woman,40,IE - Ireland,Rural area or village,24,The middle class of society,con patner e figli
5202,The increasing global population,9.0,Yes,1,1,1,1,1,centro,Man,69,IE - Ireland,Rural area or village,15,The middle class of society,con patner
5203,International terrorism,10.0,Yes,1,1,1,1,1,centro,Man,71,IE - Ireland,Rural area or village,18,The middle class of society,con patner
5204,International terrorism,10.0,Yes,1,1,1,1,1,non-posizionabile,Man,16,IE - Ireland,Rural area or village,0,The middle class of society,Other (SPONT.)
5205,"Poverty, hunger and lack of drinking water",10.0,Yes,1,1,1,1,1,centro,Woman,62,IE - Ireland,Rural area or village,20,The middle class of society,con patner
5206,"Poverty, hunger and lack of drinking water",8.0,Yes,1,1,1,1,1,centro,Woman,45,IE - Ireland,Rural area or village,27,The middle class of society,con patner e figli
5207,Proliferation of nuclear weapons,9.0,Yes,2,1,1,1,1,dx,Man,28,IE - Ireland,Rural area or village,24,The higher class of society,single
5208,dk,8.0,Yes,1,2,2,1,1,centro,Man,28,IE - Ireland,Rural area or village,21,The lower middle class of society,con patner e figli
5209,International terrorism,8.0,Yes,2,2,2,1,2,centro,Man,37,IE - Ireland,Rural area or village,18,The lower middle class of society,con patner e figli
5210,Climate change,10.0,Yes,1,2,1,1,1,centro-dx,Woman,31,IE - Ireland,Rural area or village,23,The upper middle class of society,con patner
5211,Climate change,10.0,Yes,2,2,1,1,1,centro,Woman,57,IE - Ireland,Rural area or village,34,The middle class of society,single
5212,Climate change,9.0,Yes,1,2,1,1,1,centro-sx,Man,28,IE - Ireland,Rural area or village,24,The middle class of society,single
5213,Climate change,8.0,No,2,3,2,2,2,centro,Man,35,IE - Ireland,Large town,18,The middle class of society,con patner
5214,Armed conflicts,8.0,Yes,2,1,1,1,1,centro,Man,58,IE - Ireland,Large town,17,The middle class of society,con patner e figli
5215,Climate change,9.0,Yes,2,2,1,1,1,centro-dx,Woman,82,IE - Ireland,Large town,17,The middle class of society,single
5216,The increasing global population,8.0,Yes,2,2,1,1,1,centro-sx,Man,60,IE - Ireland,Rural area or village,18,The middle class of society,con patner
5217,"Poverty, hunger and lack of drinking water",8.0,Yes,2,1,1,1,1,centro-sx,Man,68,IE - Ireland,Large town,24,The middle class of society,con patner
5218,The increasing global population,6.0,Yes,3,3,2,2,2,centro,Woman,51,IE - Ireland,Small or middle sized town,dk,The lower middle class of society,con patner e figli
5219,The economic situation,7.0,No,2,2,2,2,2,non-posizionabile,Woman,73,IE - Ireland,Large town,10,The working class of society,single
5220,The economic situation,6.0,Yes,2,1,2,2,2,centro-dx,Man,33,IE - Ireland,Small or middle sized town,18,The lower middle class of society,con patner e figli
5221,Climate change,10.0,Yes,1,1,1,1,1,centro,Man,45,IE - Ireland,Large town,21,The working class of society,con patner
5222,The economic situation,7.0,Yes,1,1,1,1,1,centro-sx,Woman,64,IE - Ireland,Small or middle sized town,19,The working class of society,con patner
5223,Climate change,9.0,Yes,2,2,1,2,2,centro,Man,64,IE - Ireland,Small or middle sized town,18,The lower middle class of society,con patner
5224,Climate change,10.0,Yes,2,1,1,2,2,centro,Man,26,IE - Ireland,Large town,24,The upper middle class of society,single
5225,The economic situation,9.0,Yes,1,1,1,1,1,centro-dx,Woman,62,IE - Ireland,Large town,17,The working class of society,con patner e figli
5226,The economic situation,8.0,Yes,2,2,2,2,2,centro-sx,Woman,67,IE - Ireland,Small or middle sized town,17,The working class of society,con patner
5227,"Poverty, hunger and lack of drinking water",8.0,Yes,1,1,1,1,1,non-posizionabile,Woman,30,IE - Ireland,Rural area or village,19,The working class of society,con patner e figli
5228,"Poverty, hunger and lack of drinking water",5.0,Yes,2,1,1,1,1,centro,Man,17,IE - Ireland,Small or middle sized town,0,The working class of society,con patner
5229,Climate change,10.0,Yes,1,1,1,1,1,centro,Man,66,IE - Ireland,Large town,21,The middle class of society,con patner e figli
5230,Climate change,10.0,Yes,1,1,1,1,1,centro-dx,Woman,35,IE - Ireland,Small or middle sized town,24,The middle class of society,con patner e figli
5231,The economic situation,7.0,Yes,1,2,2,2,2,centro-sx,Man,30,IE - Ireland,Rural area or village,19,The lower middle class of society,con patner
5232,"Poverty, hunger and lack of drinking water",6.0,No,2,1,2,2,1,centro-dx,Man,65,IE - Ireland,Rural area or village,15,The lower middle class of society,con patner
5233,The increasing global population,9.0,Yes,1,1,1,1,1,centro,Man,77,IE - Ireland,Small or middle sized town,24,The working class of society,con patner
5234,International terrorism,10.0,Yes,1,2,2,2,2,centro-sx,Woman,31,IE - Ireland,Rural area or village,31,The working class of society,single
5235,Armed conflicts,5.0,No,3,3,3,3,3,centro-sx,Man,51,IE - Ireland,Small or middle sized town,19,The middle class of society,con patner
5236,"Poverty, hunger and lack of drinking water",7.0,Yes,2,2,2,2,2,centro,Woman,61,IE - Ireland,Small or middle sized town,14,The working class of society,con patner
5237,"Poverty, hunger and lack of drinking water",10.0,No,2,2,1,1,2,centro,Woman,21,IE - Ireland,Small or middle sized town,17,The middle class of society,single
5238,Proliferation of nuclear weapons,10.0,Yes,1,1,1,1,1,centro-sx,Man,62,IE - Ireland,Large town,21,The middle class of society,con patner e figli
5239,"Poverty, hunger and lack of drinking water",5.0,Yes,1,1,2,2,1,centro,Man,42,IE - Ireland,Small or middle sized town,19,The working class of society,con patner
5240,"Poverty, hunger and lack of drinking water",10.0,Yes,1,1,1,1,1,centro,Woman,36,IE - Ireland,Rural area or village,18,The lower middle class of society,single con figli
5241,International terrorism,6.0,No,1,1,3,2,2,centro,Man,65,IE - Ireland,Rural area or village,18,The middle class of society,con patner
5242,"Poverty, hunger and lack of drinking water",2.0,Yes,2,2,2,2,2,centro,Man,66,IE - Ireland,Small or middle sized town,16,The working class of society,con patner
5243,The increasing global population,8.0,Yes,2,2,1,2,1,centro,Man,18,IE - Ireland,Rural area or village,0,The lower middle class of society,single
5244,Armed conflicts,1.0,Yes,3,4,1,3,1,non-posizionabile,Man,29,IE - Ireland,Small or middle sized town,25,The middle class of society,single
5245,The economic situation,9.0,Yes,1,1,1,1,2,sx,Woman,67,IE - Ireland,Large town,30,The lower middle class of society,single
5246,The economic situation,9.0,Yes,1,1,1,1,1,centro-sx,Man,35,IE - Ireland,Small or middle sized town,17,The working class of society,con patner e figli
5247,"Poverty, hunger and lack of drinking water",8.0,No,2,2,1,1,1,centro-sx,Man,20,IE - Ireland,Rural area or village,0,The middle class of society,single
5248,"Poverty, hunger and lack of drinking water",10.0,Yes,1,1,1,1,1,non-posizionabile,Man,40,IE - Ireland,Rural area or village,17,The working class of society,single
5249,International terrorism,10.0,Yes,1,1,1,1,1,centro,Woman,75,IE - Ireland,Small or middle sized town,16,The working class of society,single
5250,"Poverty, hunger and lack of drinking water",2.0,No,1,2,2,2,2,centro,Woman,33,IE - Ireland,Small or middle sized town,18,The working class of society,con patner e figli
5251,"Poverty, hunger and lack of drinking water",7.0,Yes,2,2,2,1,2,centro-dx,Man,71,IE - Ireland,Rural area or village,16,The working class of society,single
5252,Spread of infectious diseases,6.0,Yes,2,2,2,2,1,centro,Woman,54,IE - Ireland,Rural area or village,16,The working class of society,single con figli
5253,"Poverty, hunger and lack of drinking water",9.0,Yes,2,1,2,1,1,centro,Woman,59,IE - Ireland,Small or middle sized town,18,The lower middle class of society,con patner e figli
5254,International terrorism,10.0,Yes,2,2,1,1,1,centro-dx,Woman,54,IE - Ireland,Rural area or village,28,The upper middle class of society,con patner e figli
5255,The economic situation,8.0,No,1,1,1,1,1,non-posizionabile,Woman,29,IE - Ireland,Large town,20,The working class of society,single
5256,Climate change,10.0,No,1,1,1,1,1,centro-sx,Man,35,IE - Ireland,Rural area or village,18,The working class of society,single
5257,The economic situation,7.0,Yes,2,2,2,1,1,sx,Man,60,IE - Ireland,Rural area or village,19,The working class of society,single
5258,"Poverty, hunger and lack of drinking water",10.0,Yes,2,2,1,1,1,centro,Woman,35,IE - Ireland,Rural area or village,18,The working class of society,single con figli
5259,"Poverty, hunger and lack of drinking water",10.0,No,2,1,1,1,2,centro,Man,18,IE - Ireland,Rural area or village,0,The working class of society,single
5260,The economic situation,9.0,Yes,1,1,1,1,1,centro,Man,42,IE - Ireland,Large town,19,The working class of society,con patner e figli
5261,International terrorism,8.0,No,2,2,2,1,2,centro,Woman,46,IE - Ireland,Large town,18,The working class of society,single
5262,"Poverty, hunger and lack of drinking water",10.0,Yes,1,2,2,1,1,centro,Woman,30,IE - Ireland,Rural area or village,19,The working class of society,single con figli
5263,Climate change,10.0,Yes,1,1,1,1,1,centro-dx,Man,54,IE - Ireland,Rural area or village,20,The lower middle class of society,con patner e figli
5264,Climate change,10.0,Yes,3,1,2,1,2,non-posizionabile,Woman,29,IE - Ireland,Rural area or village,20,The working class of society,con patner e figli
5265,The increasing global population,6.0,Yes,2,1,1,1,1,centro,Man,47,IE - Ireland,Rural area or village,16,The middle class of society,con patner e figli
5266,"Poverty, hunger and lack of drinking water",10.0,No,1,1,1,1,1,non-posizionabile,Woman,53,IE - Ireland,Rural area or village,15,The middle class of society,con patner e figli
5267,Armed conflicts,8.0,No,2,2,2,2,1,centro,Man,60,IE - Ireland,Rural area or village,21,None (SPONTANEOUS),single
5268,Climate change,8.0,No,2,2,1,1,1,centro,Man,62,IE - Ireland,Rural area or village,17,The lower middle class of society,single
5269,Other (SPONTANEOUS),8.0,Yes,2,2,2,1,2,centro-dx,Woman,46,IE - Ireland,Large town,22,The working class of society,single con figli
5270,Armed conflicts,7.0,No,2,2,2,2,2,non-posizionabile,Man,31,IE - Ireland,Small or middle sized town,20,The middle class of society,con patner
5271,"Poverty, hunger and lack of drinking water",10.0,Yes,1,1,1,1,1,dx,Man,70,IE - Ireland,Rural area or village,19,The middle class of society,con patner e figli
5272,"Poverty, hunger and lack of drinking water",2.0,Yes,2,2,1,1,2,centro-sx,Woman,63,IE - Ireland,Small or middle sized town,18,The working class of society,con patner
5273,Climate change,10.0,Yes,1,1,1,1,1,centro-dx,Woman,74,IE - Ireland,Small or middle sized town,18,The working class of society,con patner
5274,"Poverty, hunger and lack of drinking water",8.0,Yes,1,1,1,1,1,centro,Woman,62,IE - Ireland,Small or middle sized town,16,The working class of society,con patner
5275,Climate change,10.0,Yes,1,1,1,1,1,centro,Woman,58,IE - Ireland,Small or middle sized town,17,The middle class of society,con patner
5276,The increasing global population,10.0,Yes,1,1,1,1,1,centro,Woman,39,IE - Ireland,Small or middle sized town,23,The working class of society,con patner e figli
5277,"Poverty, hunger and lack of drinking water",6.0,Yes,1,1,1,1,1,centro,Woman,81,IE - Ireland,Small or middle sized town,18,The middle class of society,con patner
5278,"Poverty, hunger and lack of drinking water",8.0,Yes,1,1,1,1,1,non-posizionabile,Woman,20,IE - Ireland,Large town,0,The working class of society,single
5279,Proliferation of nuclear weapons,10.0,No,2,4,1,1,1,centro,Man,20,IE - Ireland,Small or middle sized town,16,The working class of society,con patner
5280,"Poverty, hunger and lack of drinking water",8.0,No,2,2,2,2,2,centro,Woman,37,IE - Ireland,Large town,18,The working class of society,single con figli
5281,"Poverty, hunger and lack of drinking water",6.0,No,3,3,2,2,3,centro,Woman,50,IE - Ireland,Large town,14,The working class of society,con patner e figli
5282,"Poverty, hunger and lack of drinking water",10.0,Yes,1,1,1,1,1,centro,Man,72,IE - Ireland,Large town,14,The working class of society,con patner
5283,Climate change,10.0,Yes,1,1,1,1,1,centro,Man,39,IE - Ireland,Small or middle sized town,22,The working class of society,con patner e figli
5284,"Poverty, hunger and lack of drinking water",10.0,Yes,1,1,1,1,1,centro,Woman,52,IE - Ireland,Rural area or village,17,The working class of society,con patner
5285,"Poverty, hunger and lack of drinking water",5.0,No,1,1,1,3,1,centro,Man,16,IE - Ireland,Rural area or village,0,The working class of society,single
5286,Climate change,7.0,Yes,2,2,2,1,2,centro,Man,57,IE - Ireland,Small or middle sized town,22,The middle class of society,con patner
5287,"Poverty, hunger and lack of drinking water",5.0,Yes,2,3,2,1,1,centro-dx,Man,22,IE - Ireland,Large town,18,The working class of society,con patner e figli
5288,The economic situation,8.0,Yes,2,2,1,1,1,centro-sx,Woman,30,IE - Ireland,Small or middle sized town,0,The working class of society,single
5289,"Poverty, hunger and lack of drinking water",10.0,Yes,2,1,1,1,1,sx,Woman,58,IE - Ireland,Large town,18,Other (SPONTANEOUS),single con figli
5290,Climate change,10.0,No,1,2,1,1,1,centro-sx,Woman,62,IE - Ireland,Large town,22,Refusal (SPONTANEOUS),con patner
5291,Climate change,8.0,No,1,2,1,1,1,sx,Man,41,IE - Ireland,Rural area or village,25,The working class of society,con patner
5292,Climate change,10.0,Yes,1,1,1,1,1,centro-dx,Woman,57,IE - Ireland,Large town,17,The middle class of society,con patner
5293,"Poverty, hunger and lack of drinking water",8.0,No,2,2,2,2,2,centro,Woman,41,IE - Ireland,Rural area or village,16,The working class of society,single
5294,The economic situation,9.0,No,2,2,2,2,2,centro,Man,21,IE - Ireland,Small or middle sized town,17,The working class of society,single
5295,The economic situation,9.0,Yes,1,1,1,1,1,centro-sx,Man,40,IE - Ireland,Small or middle sized town,23,The lower middle class of society,con patner e figli
5296,"Poverty, hunger and lack of drinking water",8.0,No,2,2,1,1,2,centro-dx,Woman,59,IE - Ireland,Small or middle sized town,15,The lower middle class of society,single
5297,Climate change,8.0,No,2,2,1,1,2,centro,Man,29,IE - Ireland,Rural area or village,23,The higher class of society,con patner e figli
5298,"Poverty, hunger and lack of drinking water",5.0,No,2,2,1,2,2,centro-sx,Woman,29,IE - Ireland,Small or middle sized town,20,The working class of society,con patner
5299,International terrorism,8.0,Yes,2,2,2,1,1,centro-sx,Man,45,IE - Ireland,Small or middle sized town,16,The lower middle class of society,con patner
5300,The economic situation,8.0,Yes,2,2,2,2,2,centro,Woman,41,IE - Ireland,Rural area or village,19,The middle class of society,single con figli
5301,Armed conflicts,8.0,Yes,2,1,1,2,2,centro,Woman,31,IE - Ireland,Small or middle sized town,0,The lower middle class of society,single con figli
5302,The economic situation,7.0,No,2,2,1,2,2,centro-dx,Man,35,IE - Ireland,Rural area or village,18,The lower middle class of society,single
5303,"Poverty, hunger and lack of drinking water",4.0,Yes,1,1,1,1,2,centro,Man,24,IE - Ireland,Rural area or village,22,The middle class of society,con patner
5304,Climate change,9.0,Yes,1,2,2,1,2,centro-dx,Man,69,IE - Ireland,Rural area or village,17,The middle class of society,con patner
5305,"Poverty, hunger and lack of drinking water",7.0,Yes,2,1,2,1,2,centro-dx,Man,42,IE - Ireland,Rural area or village,19,The lower middle class of society,con patner e figli
5306,Climate change,5.0,Yes,1,1,1,2,1,centro-dx,Man,47,IE - Ireland,Rural area or village,18,The middle class of society,con patner e figli
5307,International terrorism,7.0,Yes,2,2,1,2,1,centro,Woman,35,IE - Ireland,Rural area or village,21,The middle class of society,con patner e figli
5308,International terrorism,8.0,Yes,2,2,1,1,1,centro,Woman,42,IE - Ireland,Rural area or village,24,The upper middle class of society,con patner e figli
5309,Proliferation of nuclear weapons,8.0,Yes,1,1,1,1,1,centro,Man,42,IE - Ireland,Rural area or village,24,The middle class of society,con patner e figli
5310,Proliferation of nuclear weapons,7.0,No,1,1,2,2,2,centro,Man,35,IE - Ireland,Rural area or village,23,The middle class of society,con patner e figli
5311,"Poverty, hunger and lack of drinking water",7.0,Yes,1,2,1,1,1,sx,Woman,38,IE - Ireland,Small or middle sized town,19,The upper middle class of society,con patner e figli
5312,Climate change,9.0,Yes,1,1,1,1,1,centro,Man,48,IE - Ireland,Rural area or village,22,The working class of society,con patner e figli
5313,"Poverty, hunger and lack of drinking water",8.0,Yes,2,2,1,1,1,centro,Woman,54,IE - Ireland,Small or middle sized town,16,The working class of society,con patner e figli
5314,Climate change,8.0,Yes,1,1,1,1,1,centro,Woman,79,IE - Ireland,Large town,18,The upper middle class of society,con patner
5315,"Poverty, hunger and lack of drinking water",7.0,Yes,1,1,1,1,1,centro,Woman,32,IE - Ireland,Rural area or village,21,The working class of society,con patner e figli
5316,Climate change,10.0,Yes,2,1,1,1,2,centro,Man,52,IE - Ireland,Small or middle sized town,22,The middle class of society,con patner e figli
5317,International terrorism,8.0,Yes,2,1,1,1,1,centro-dx,Man,28,IE - Ireland,Rural area or village,25,The upper middle class of society,single
5318,The increasing global population,9.0,Yes,1,1,1,1,2,centro,Man,68,IE - Ireland,Large town,17,The middle class of society,con patner
5319,Climate change,10.0,Yes,1,1,1,1,1,centro-sx,Man,50,IE - Ireland,Small or middle sized town,20,The middle class of society,con patner e figli
5320,Armed conflicts,7.0,Yes,1,2,1,1,1,centro,Man,50,IE - Ireland,Rural area or village,17,The working class of society,con patner e figli
5321,Climate change,10.0,Yes,2,1,1,1,1,centro-sx,Man,25,IE - Ireland,Rural area or village,21,The lower middle class of society,con patner
5322,"Poverty, hunger and lack of drinking water",9.0,Yes,1,1,3,2,2,centro,Woman,76,IE - Ireland,Large town,18,The middle class of society,single
5323,The economic situation,5.0,No,2,2,1,1,1,centro,Man,40,IE - Ireland,Rural area or village,23,The middle class of society,con patner e figli
